	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200756012301	ダ	右	1300	曇	良	11:00	サラブレッド系Cー2		2007-1-23	15	荒尾	1	(定量)		3.0	140.0	1.0	3.0	120	1.0	7.0	300	4.0	3-7	540.0	2.0	3=>7	560.0	2.0		4327158.0	4372518.0	3475281.0																							
200756012302	ダ	右	1300	曇	良	11:30	サラブレッド系Cー2		2007-1-23	15	荒尾	1	(定量)		4.0	160.0	1.0	4.0	110	1.0	7.0	270	5.0	4-7	710.0	3.0	4=>7	940.0	3.0		76354812	76435821	7,(6,4),3,2,5,8,1			6.0	120.0	3.0																		
200756012303	ダ	右	1300	曇	良	12:00	サラブレッド系Cー1		2007-1-23	15	荒尾	1	(定量)		6.0	1340.0	3.0	6.0	150	3.0	2.0	110	1.0	2-6	400.0	2.0	6=>2	2270.0	8.0		25684137	25684137	(2,6),8,4,5,7,1,3			8.0	190.0	4.0																		
200756012304	ダ	右	1300	曇	良	12:30	サラブレッド系Cー1		2007-1-23	15	荒尾	1	(定量)		4.0	300.0	2.0	4.0	100	2.0	7.0	140	3.0	4-7	440.0	2.0	4=>7	1190.0	4.0		78314265	7,8,3,(4,6),1,2,5	76834251			6.0	100.0	1.0																		
200756012305	ダ	右	950	曇	良	13:15	サラブレッド系Cー1		2007-1-23	15	荒尾	1	(定量)		4.0	290.0	2.0	4.0	120	2.0	7.0	100	1.0	4-7	240.0	1.0	4=>7	600.0	2.0			7,6,(4,8),3,2,1,5	47863521			8.0	180.0	5.0																		
200756012307	ダ	右	1400	曇	良	14:15	サラブレッド系Cー1		2007-1-23	15	荒尾	1	(定量)		7.0	510.0	3.0	7.0	140	2.0	3.0	370	4.0	3-7	780.0	3.0	7=>3	1170.0	4.0	3576142	3571264	3571624	3751264																							
200756012308	ダ	右	1500	曇	良	14:50	M&Kジョッキーズカ 		2007-1-23	15	荒尾	1	(定量)		11.0	210.0	2.0	11.0	100	1.0	8.0	110	2.0	8-11	160.0	1.0	11=>8	350.0	2.0	116821095734121	116289105374121	114862951273101	118429567123110			12.0	360.0	8.0	6-8	140.0	1.0															
200756031301	ダ	右	1300	晴	良	11:00	3歳		2007-3-13	17	荒尾	3	(定量)		5.0	130.0	1.0	5.0	100	1.0	4.0	480	4.0	4-5	1320.0	3.0	5=>4	1200.0	4.0		253416	251436	5-2,4,1,6=3																							
200756041801	ダ	右	1300	雨	不良	11:00	サラブレッド系3歳ー		2007-4-18	1	荒尾	2	(定量)		2.0	420.0	2.0	2.0	210	3.0	1.0	160	2.0	1-2	1030.0	5.0	2=>1	1440.0	7.0		2415367.0	2451637.0	2413576.0									1-2	260.0	3.0	2-3	930.0	10.0	1-3	1,210	13.0	1-2-3	4600.0	13.0	2=>1=>3	22290.0	57.0
200756042501	ダ	右	1400	晴	重	11:00	アラブ系Bー2組		2007-4-25	1	荒尾	3	(定量)		5.0	190.0	1.0	5.0	120	1.0	7.0	460	5.0	5-7	1790.0	4.0	5=>7	1880.0	5.0	7416523	7416523	7,4,(1,6),5,2,3	7521643									5-7	700.0	6.0	2-5	240.0	2.0	2-7	2,880	15.0	2-5-7	2560.0	9.0	5=>7=>2	14650.0	34.0
200756042502	ダ	右	950	晴	重	11:30	サラブレッド系Cー2		2007-4-25	1	荒尾	3	(定量)		7.0	130.0	1.0	7.0	100	1.0	8.0	100	2.0	7-8	140.0	1.0	7=>8	180.0	1.0			7,(6,8),5,1,3,4,2	78652143			5.0	160.0	4.0				7-8	100.0	1.0	5-7	230.0	3.0	5-8	200	2.0	5-7-8	220.0	1.0	7=>8=>5	330.0	1.0
200756050301	ダ	右	1300	晴	良	11:00	サラブレッド系3歳ー		2007-5-3	1	荒尾	6	(定量)		3.0	190.0	1.0	3.0	140	2.0	1.0	280	3.0	1-3	420.0	2.0	3=>1	550.0	3.0		3715426.0	3715426.0	3175246.0									1-3	110.0	3.0	3-7	100.0	1.0	1-7	100	2.0	1-3-7	150.0	1.0	3=>1=>7	800.0	3.0
200756050302	ダ	右	1300	晴	良	11:30	サラブレッド系Cー8		2007-5-3	1	荒尾	6	(定量)		6.0	300.0	2.0	6.0	110	1.0	3.0	140	2.0	3-6	200.0	1.0	6=>3	730.0	3.0		3671245	3,6,(1,7),2,4,5	3674512									3-6	130.0	1.0	5-6	990.0	11.0	3-5	620	8.0	3-5-6	910.0	3.0	6=>3=>5	4700.0	17.0
200756050303	ダ	右	1400	晴	良	12:00	サラブレッド系3歳ー		2007-5-3	1	荒尾	6	(定量)		1.0	110.0	1.0	1.0	100	2.0	5.0	100	1.0	1-5	150.0	1.0	1=>5	150.0	1.0	346512	346251	346521	645123									1-5	130.0	1.0	1-6	360.0	6.0	5-6	300	5.0	1-5-6	390.0	2.0	1=>5=>6	510.0	2.0
200756051301	ダ	右	1300	晴	良	11:00	アラブ系Bー3組		2007-5-13	2	荒尾	2	(定量)		4.0	140.0	1.0	4.0	400	2.0	5.0	1,040	4.0	4-5	1150.0	3.0	4=>5	1260.0	4.0		2417635	2,4,(6,7),(1,5),3	4,7,6,2,5-1,3									4-5	440.0	6.0	4-7	270.0	2.0	5-7	710	9.0	4-5-7	1770.0	6.0	4=>5=>7	5400.0	14.0
200756051302	ダ	右	950	晴	良	11:30	サラブレッド系Cー2		2007-5-13	2	荒尾	2	(定量)		1.0	140.0	1.0	1.0	100	1.0	2.0	110	2.0	1-2	150.0	1.0	1=>2	170.0	1.0			1372548	1,7,3,2-5,8,4									1-2	160.0	1.0	1-7	240.0	4.0	2-7	380	6.0	1-2-7	480.0	2.0	1=>2=>7	500.0	2.0
200756052301	ダ	右	1300	晴	良	11:00	サラブレッド系3歳ー		2007-5-23	2	荒尾	4	(定量)		4.0	130.0	1.0	4.0	160	2.0	1.0	230	4.0	1-4	230.0	1.0	4=>1	340.0	1.0		1652743	1,6,4,(2,5,7),3	1467523									1-4	160.0	1.0	4-7	600.0	10.0	1-7	470	9.0	1-4-7	1300.0	6.0	4=>1=>7	2280.0	8.0
200756052302	ダ	右	1400	晴	良	11:30	サラブレッド系3歳ー		2007-5-23	2	荒尾	4	(定量)		1.0	1010.0	4.0	1.0	270	4.0	7.0	100	1.0	1-7	1090.0	4.0	1=>7	3060.0	10.0	2567431	2567431	2567143	7251643									1-7	270.0	4.0	1-2	390.0	7.0	2-7	130	1.0	1-2-7	510.0	3.0	1=>7=>2	10980.0	30.0
200756052901	ダ	右	1400	曇	良	11:00	アラブ系Bー2組		2007-5-29	2	荒尾	5	(定量)		3.0	270.0	2.0	3.0	150	2.0	2.0	160	3.0	2-3	160.0	1.0	3=>2	360.0	1.0	135624	135624	1,3,5,6,2-4	3,2,1,5,6-4									2-3	130.0	1.0	3-5	200.0	3.0	2-5	290	6.0	2-3-5	430.0	2.0	3=>2=>5	930.0	3.0
200756052902	ダ	右	1300	曇	良	11:30	サラブレッド系Cー2		2007-5-29	2	荒尾	5	(定量)		4.0	100.0	1.0	4.0	100	2.0	5.0	100	1.0	4-5	150.0	1.0	4=>5	170.0	1.0		54681237	5,4,6,8-(2,3),7,1	4,5-6,8-3,1,2,7			6.0	100.0	3.0				4-5	130.0	1.0	4-6	200.0	3.0	5-6	310	6.0	4-5-6	270.0	1.0	4=>5=>6	380.0	1.0
200756060601	ダ	右	1300	晴	良	11:00	サラブレッド系3歳ー		2007-6-6	3	荒尾	2	(定量)		2.0	180.0	1.0	2.0	240	3.0	3.0	220	2.0	2-3	350.0	2.0	2=>3	800.0	5.0		2354176	2354176	2,3,4,5,1-7,6									2-3	220.0	3.0	2-4	480.0	6.0	3-4	390	5.0	2-3-4	780.0	4.0	2=>3=>4	2930.0	10.0
200756060602	ダ	右	1300	晴	良	11:35	サラブレッド系Cー9		2007-6-6	3	荒尾	2	(定量)		4.0	770.0	3.0	4.0	150	1.0	1.0	160	3.0	1-4	280.0	2.0	4=>1	1000.0	4.0		15243	15432	1,4,5,3-2									1-4	110.0	2.0	4-5	130.0	3.0	1-5	110	1.0	1-4-5	170.0	1.0	4=>1=>5	1700.0	8.0
200756060603	ダ	右	1400	晴	良	12:10	サラブレッド系3歳ー		2007-6-6	3	荒尾	2	(定量)		1.0	120.0	1.0	1.0	100	1.0	7.0	360	6.0	1-7	2470.0	7.0	1=>7	2440.0	7.0	(5,7),2,8,1,4,6,3	25718436	25718436	17254683			6.0	170.0	3.0				1-7	590.0	6.0	1-6	320.0	3.0	6-7	2,260	18.0	1-6-7	3410.0	11.0	1=>7=>6	12550.0	34.0
200756061201	ダ	右	1300	晴	良	11:00	アラブ系Bー3組		2007-6-12	3	荒尾	3	(定量)		2.0	1840.0	4.0	2.0	220	3.0	3.0	170	2.0	2-3	740.0	4.0	2=>3	1740.0	9.0		126345	126345	2,6,3,1-4=5									2-3	280.0	4.0	2-6	360.0	6.0	3-6	150	1.0	2-3-6	870.0	3.0	2=>3=>6	3790.0	18.0
200756061202	ダ	右	1400	晴	良	11:35	アラブ系Bー1組		2007-6-12	3	荒尾	3	(定量)		4.0	230.0	1.0	4.0	100	1.0	5.0	270	4.0	4-5	690.0	3.0	4=>5	650.0	4.0	451632	451632	451632	451632									4-5	200.0	2.0	4-6	230.0	3.0	5-6	440	9.0	4-5-6	870.0	4.0	4=>5=>6	2790.0	10.0
200756061203	ダ	右	950	晴	良	12:10	サラブレッド系Cー2		2007-6-12	3	荒尾	3	(定量)		4.0	180.0	1.0	4.0	120	1.0	6.0	220	4.0	4-6	320.0	2.0	4=>6	550.0	3.0			4671253.0	4671235.0									4-6	190.0	2.0	2-4	290.0	4.0	2-6	370	6.0	2-4-6	670.0	3.0	4=>6=>2	1820.0	5.0
200756062001	ダ	右	1300	曇	稍重	11:00	サラブレッド系3歳ー		2007-6-20	4	荒尾	2	(定量)		7.0	1340.0	5.0	7.0	420	4.0	3.0	180	2.0	3-7	1390.0	6.0	7=>3	4790.0	17.0		3471256	3,4,7,1-5,2,6	3,7,4,1,5=2,6									3-7	190.0	2.0	4-7	220.0	4.0	3-4	110	1.0	3-4-7	620.0	3.0	7=>3=>4	7660.0	28.0
200756062002	ダ	右	1400	曇	稍重	11:30	サラブレッド系3歳ー		2007-6-20	4	荒尾	2	(定量)		3.0	130.0	1.0	3.0	100	1.0	6.0	160	3.0	3-6	560.0	3.0	3=>6	590.0	3.0	36758214	36758214	3,6,(4,5,7),8,2,1	36541287			5.0	220.0	4.0				3-6	210.0	3.0	3-5	190.0	2.0	5-6	400	6.0	3-5-6	720.0	3.0	3=>6=>5	1690.0	6.0
200756062701	ダ	右	1300	晴	良	11:00	アラブ系Bー3組		2007-6-27	4	荒尾	4	(定量)		1.0	290.0	2.0	1.0	130	2.0	4.0	150	3.0	1-4	510.0	3.0	1=>4	1530.0	8.0		15432.0	15432.0	14532.0									1-4	250.0	4.0	1-5	320.0	6.0	4-5	200	2.0	1-4-5	640.0	3.0	1=>4=>5	2500.0	14.0
200756062702	ダ	右	1400	晴	良	11:30	アラブ系Bー1組		2007-6-27	4	荒尾	4	(定量)		4.0	670.0	3.0	4.0	120	2.0	2.0	110	1.0	2-4	290.0	1.0	4=>2	1960.0	7.0	251346	253146	253146	2,3,1,5,4-6									2-4	190.0	3.0	1-4	210.0	5.0	1-2	190	4.0	1-2-4	380.0	2.0	4=>2=>1	6770.0	21.0
200756062703	ダ	右	950	晴	良	12:00	サラブレッド系Cー2		2007-6-27	4	荒尾	4	(定量)																			3567124.0	3675214.0																							
200756062704	ダ	右	1300	晴	良	12:30	サラブレッド系Cー2		2007-6-27	4	荒尾	4	(定量)		2.0	140.0	1.0	2.0	120	1.0	1.0	1,040	7.0	1-2	3300.0	10.0	2=>1	4390.0	10.0		2,3,6,5,1-7,4	2,3,(5,6),1-7,4	2-3,6,5,1,7-4									1-2	1,340	13.0	2-5	170.0	1.0	1-5	1,970	17.0	1-2-5	3830.0	17.0	2=>1=>5	38820.0	67.0
200756070301	ダ	右	1400	曇	重	11:00	サラブレッド系Cー8		2007-7-3	4	荒尾	5	(定量)		4.0	490.0	4.0	4.0	260	3.0	5.0	470	5.0	4-5	2590.0	12.0	4=>5	7880.0	29.0	246315	243615	234165	432165									4-5	590	10.0	4-6	340.0	5.0	5-6	1,250	15.0	4-5-6	6150.0	18.0	4=>5=>6	33410.0	113.0
200756070302	ダ	右	1300	曇	重	11:30	サラブレッド系3歳ー		2007-7-3	4	荒尾	5	(定量)		5.0	130.0	1.0	5.0	120	1.0	1.0	130	2.0	1-5	210.0	1.0	5=>1	280.0	1.0		1456723	1546237	1,5,(3,6),4,2,7									1-5	110	1.0	3-5	180.0	2.0	1-3	220	4.0	1-3-5	390.0	1.0	5=>1=>3	660.0	1.0
200756070303	ダ	右	1400	曇	重	12:00	サラブレッド系3歳ー		2007-7-3	4	荒尾	5	(定量)		6.0	650.0	4.0	6.0	170	3.0	5.0	170	2.0	5-6	560.0	3.0	6=>5	1510.0	6.0	5364172	5634172	5634172	6543127									5-6	280	4.0	4-6	720.0	8.0	4-5	740	9.0	4-5-6	2400.0	8.0	6=>5=>4	11460.0	36.0
200756071001	ダ	右	1400	雨	不良	11:00	アラブ系Bー2組		2007-7-10	5	荒尾	1	(定量)		1.0	390.0	2.0	1.0	180	2.0	3.0	260	3.0	1-3	810.0	4.0	1=>3	1130.0	4.0	13452	1,3,(2,4),5	13254	1,3,(4,5),2									1-3	200	5.0	1-5	120.0	1.0	3-5	180	4.0	1-3-5	270.0	1.0	1=>3=>5	1810.0	6.0
200756071002	ダ	右	950	雨	不良	11:30	サラブレッド系Cー2		2007-7-10	5	荒尾	1	(定量)		6.0	160.0	1.0	6.0	100	1.0	3.0	250	5.0	3-6	320.0	2.0	6=>3	470.0	2.0			346512	(3,4,6),1,5-2									3-6	320	3.0	4-6	160.0	2.0	3-4	370	5.0	3-4-6	360.0	1.0	6=>3=>4	1160.0	3.0
200756071003	ダ	右	1300	雨	不良	12:00	サラブレッド系Cー2		2007-7-10	5	荒尾	1	(定量)		1.0	100.0	1.0	1.0	100	2.0	6.0	100	1.0	1-6	230.0	1.0	1=>6	350.0	1.0		1642537.0	1642537.0	1624537.0									1-6	160	1.0	1-2	280.0	4.0	2-6	500	8.0	1-2-6	890.0	3.0	1=>6=>2	1890.0	5.0
200756071004	ダ	右	1300	雨	不良	12:30	サラブレッド系Cー2		2007-7-10	5	荒尾	1	(定量)		6.0	160.0	1.0	6.0	140	2.0	1.0	130	1.0	1-6	670.0	3.0	6=>1	700.0	3.0		2,5,6,(1,8),4,3-7	2,5,6,8,1,4=7	6,2,1,5,4-8=7			4.0	770.0	8.0				1-6	250	3.0	4-6	1,130	13.0	1-4	3,000	21.0	1-4-6	7950.0	19.0	6=>1=>4	18770.0	53.0
200756071005	ダ	右	1400	雨	不良	13:05	サラブレッド系Cー2		2007-7-10	5	荒尾	1	(定量)		4.0	1690.0	3.0	4.0	120	2.0	2.0	100	1.0	2-4	300.0	1.0	4=>2	1770.0	7.0	24657831	2,4,6-5,7,8,1,3	2,4,6-5,7,8,1,3	42657831			7.0	220.0	6.0				2-4	270	4.0	4-7	1,930	18.0	2-7	800	12.0	2-4-7	3180.0	13.0	4=>2=>7	36410.0	67.0
200756071006	ダ	右	1400	雨	不良	13:40	サラブレッド系Cー1		2007-7-10	5	荒尾	1	(定量)		3.0	610.0	4.0	3.0	100	1.0	6.0	140	3.0	3-6	1750.0	9.0	3=>6	2970.0	18.0	54631287	54631287	54638217	4,(5,6),3,2,1,8-7			2.0	130.0	2.0				3-6	600	10.0	2-3	290	2.0	2-6	590	9.0	2-3-6	1320.0	4.0	3=>6=>2	8940.0	33.0
200756072401	ダ	右	1400	晴	良	11:00	アラブ系Bー1組		2007-7-24	6	荒尾	1	(定量)		4.0	140.0	1.0	4.0	120	1.0	5.0	120	2.0	4-5	180.0	1.0	4=>5	280.0	1.0	7145236	7145236	7145236	4517263									4-5	130	1.0	4-6	280	6.0	5-6	220	2.0	4-5-6	300.0	1.0	4=>5=>6	820.0	1.0
200756072402	ダ	右	950	晴	良	11:35	サラブレッド系Cー2		2007-7-24	6	荒尾	1	(定量)		4.0	260.0	1.0	4.0	230	3.0	6.0	380	5.0	4-6	390.0	1.0	4=>6	520.0	1.0			4612537	4,6,2,1,(3,5),7									4-6	220	1.0	3-4	670	10.0	3-6	790	14.0	3-4-6	3410.0	14.0	4=>6=>3	8140.0	28.0
200756072403	ダ	右	1300	晴	良	12:10	サラブレッド系Cー2		2007-7-24	6	荒尾	1	(定量)		3.0	210.0	1.0	3.0	120	1.0	1.0	230	4.0	1-3	660.0	2.0	3=>1	860.0	3.0		135264	1,3,5,2,6-4	(1,3),5,2,6,4									1-3	320	5.0	2-3	230	3.0	1-2	340	6.0	1-2-3	820.0	4.0	3=>1=>2	2300.0	8.0
200756072404	ダ	右	1300	晴	良	12:45	サラブレッド系Cー2		2007-7-24	6	荒尾	1	(定量)		2.0	2090.0	6.0	2.0	310	5.0	7.0	130	1.0	2-7	950.0	4.0	2=>7	3320.0	10.0		7,3,(2,6),1,4,5	7,(2,3),6,1,4,5	7263145									2-7	340	4.0	2-6	450	6.0	6-7	160	1.0	2-6-7	1440.0	4.0	2=>7=>6	10420.0	32.0
