	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連複:的中	三連複:配当	三連複:人気
200953021504	ダ	右	1250	晴	稍重	12:20	C22		2009-2-15	19	福山	2	(馬齢)		7.0	310.0	1.0	7.0	130.0	1.0	5.0	170	3.0	3.0	380.0	7.0	5-7	890.0	2.0	7=>5	1470.0	1.0	7=>5=>3	11030.0	36.0	23518647	23158467	23516874	23571684																	
200953021505	ダ	右	1250	晴	稍重	12:55	C21		2009-2-15	19	福山	2	(馬齢)		4.0	560.0	3.0	4.0	130.0	3.0	2.0	170	4.0	5.0	100.0	1.0	2-4	1580.0	6.0	4=>2	2930.0	11.0	4=>2=>5	9060.0	30.0	2,7,1,(4,6),3,5,8	27146358	24175368	(2,4),1,5,3,7,8,6																	
200953021506	ダ	右	1250	晴	稍重	13:30	C210		2009-2-15	19	福山	2	(馬齢)		2.0	820.0	4.0	2.0	410.0	6.0	3.0	270	5.0	6.0	160.0	3.0	2-3	2940.0	13.0	2=>3	6560.0	26.0	2=>3=>6	22740.0	80.0	34527168	34251768	34275618	32476581																	
200953021507	ダ	右	1250	晴	良	14:05	C29		2009-2-15	19	福山	2	(馬齢)		4.0	240.0	1.0	4.0	110.0	1.0	2.0	140	2.0	6.0	340.0	6.0	2-4	550.0	3.0	4=>2	810.0	3.0	4=>2=>6	13860.0	48.0	37128654	37125684	37126548	3,(7,2,6,4),1,8,5																	
200953021508	ダ	右	1250	晴	良	14:40	C28		2009-2-15	19	福山	2	(馬齢)		5.0	910.0	4.0	5.0	230.0	4.0	2.0	350	5.0	6.0	140.0	3.0	2-5	3730.0	13.0	5=>2	8070.0	27.0	5=>2=>6	38910.0	111.0	57836124	5,8,(3,7,6),1,2-4	5,(8,6),3,7,2,1,4	56832714																	
200953022201	ダ	右	1250	曇	重	10:50	C222		2009-2-22	19	福山	4	(馬齢)		3.0	160.0	1.0	3.0	100.0	1.0	6.0	140	2.0	8.0	190.0	5.0	3-6	270.0	1.0	3=>6	270.0	1.0	3=>6=>8	1010.0	1.0	23178654	23178564	(2,3),8,6,(1,7),5,4	(2,3),8,6,1,7,5,4																	
200953022202	ダ	右	1250	曇	重	11:20	C221		2009-2-22	19	福山	4	(馬齢)		6.0	1280.0	6.0	6.0	210.0	4.0	1.0	120	1.0	2.0	240.0	5.0	1-6	910.0	5.0	6=>1	3330.0	13.0	6=>1=>2	22340.0	68.0	1,7,(2,5,6),(3,4),8	17256438	1,(7,6),2,5,4,3,8	16275438																	
200953022203	ダ	右	1250	曇	重	11:50	C220		2009-2-22	19	福山	4	(馬齢)		7.0	360.0	2.0	7.0	230.0	4.0	8.0	180	2.0	9.0	180.0	3.0	7-8	2050.0	9.0	7=>8	5110.0	20.0	7=>8=>9	15500.0	55.0	1,8,9,2,4,5,(3,6),7	189245367	189265473	891256743																	
200953022204	ダ	右	1250	曇	重	12:20	C219		2009-2-22	19	福山	4	(馬齢)		3.0	370.0	2.0	3.0	130.0	2.0	6.0	160	4.0	7.0	100.0	1.0	3-6	340.0	1.0	3=>6	660.0	1.0	3=>6=>7	1980.0	2.0	197364285	197634285	196734852	916738542																	
200953022205	ダ	右	1250	曇	重	12:55	C218		2009-2-22	19	福山	4	(馬齢)		9.0	190.0	1.0	9.0	100.0	2.0	3.0	100	1.0	7.0	160.0	4.0	3-9	220.0	1.0	9=>3	250.0	1.0	9=>3=>7	790.0	1.0	135974826	135794826	3,1,(5,7),9,8,4,2,6	(3,7,9),5,1,8,4,2,6																	
200953022206	ダ	右	1250	曇	重	13:30	C24		2009-2-22	19	福山	4	(馬齢)		4.0	190.0	1.0	4.0	120.0	2.0	7.0	110	1.0	6.0	170.0	4.0	4-7	230.0	1.0	4=>7	330.0	1.0	4=>7=>6	1350.0	3.0	17825436	17825346	74182536	74185362																	
200953022207	ダ	右	1250	曇	重	14:05	C23		2009-2-22	19	福山	4	(馬齢)		4.0	370.0	2.0	4.0	170.0	2.0	9.0	300	6.0	6.0	560.0	7.0	4-9	800.0	3.0	4=>9	1500.0	7.0	4=>9=>6	12560.0	43.0	976348251	9,7,6,4,3,(2,5,8),1	9,7,6,4,2,(3,5,8),1	974625831																	
200953022208	ダ	右	1600	雨	重	14:40	アネモネ特別 		2009-2-22	19	福山	4	(馬齢)		5.0	2350.0	4.0	5.0	180.0	3.0	6.0	180	4.0	7.0	100.0	1.0	5-6	3350.0	8.0	5=>6	7660.0	18.0	5=>6=>7	13250.0	38.0	987345261	987345261	(9,8,7),5,3,4,6,2,1	7,(8,5,6),9,4,3,1,2																	
200953022209	ダ	右	1600	雨	重	15:15	プリムラ特別 		2009-2-22	19	福山	4	(馬齢)		6.0	550.0	3.0	6.0	130.0	3.0	2.0	100	1.0	4.0	190.0	5.0	2-6	510.0	2.0	6=>2	1020.0	5.0	6=>2=>4	6410.0	28.0	3,6,9,2,(4,8),7,1,5	369248715	632941785	624713985																	
200953022210	ダ	右	1600	雨	不良	15:55	デイリースポーツ杯福	G	2009-2-22	19	福山	4	(別定)		8.0	210.0	1.0	8.0	120.0	1.0	4.0	220	6.0	5.0	200.0	4.0	4-8	650.0	2.0	8=>4	1010.0	3.0	8=>4=>5	5300.0	18.0	54367891210	54376819210	54837692110	54837692101																	
200953030801	ダ	右	1250	曇	重	10:50	C212　ハ		2009-3-8	20	福山	4	(馬齢)		5.0	140.0	1.0	5.0	100.0	1.0	10.0	210	4.0	1.0	1,120	9.0	5-10	1620.0	5.0	5=>10	1290.0	4.0	5=>10=>1	63810.0	119.0	58793421061	5,(8,7),3,9,2,4,10,6,1	5,7,3,8,2,9,(4,10),6,1	57310294816																	
200953030802	ダ	右	1250	曇	重	11:20	C212　ロ		2009-3-8	20	福山	4	(馬齢)		4.0	120.0	1.0	4.0	100.0	1.0	8.0	110	2.0	10.0	190	5.0	4-8	230.0	1.0	4=>8	290.0	1.0	4=>8=>10	1040.0	1.0	10174235968	10,1,7,4,3,2,(5,9),6,8	(10,1,7),4,3,2,5,9,8,6	10714328596																	
200953030803	ダ	右	1250	曇	重	11:50	C212　イ		2009-3-8	20	福山	4	(馬齢)		8.0	360.0	2.0	8.0	130.0	1.0	7.0	130	2.0	4.0	270	6.0	7-8	450.0	1.0	8=>7	760.0	1.0	8=>7=>4	9400.0	26.0	58110649372	5,(1,8),10,6,4,9,3,7,2	58110649372	58161049732																	
200953030804	ダ	右	1250	曇	重	12:20	C216		2009-3-8	20	福山	4	(馬齢)		4.0	100.0	1.0	4.0	100.0	1.0	7.0	150	3.0	6.0	280	5.0	4-7	350.0	2.0	4=>7	320.0	2.0	4=>7=>6	2620.0	10.0	289167435	289164375	829416735	4,8,(2,9),6,1,7,5,3																	
200953030805	ダ	右	1250	曇	重	12:55	C215		2009-3-8	20	福山	4	(馬齢)		1.0	870.0	4.0	1.0	140.0	3.0	2.0	100	1.0	7.0	120	2.0	1-2	870.0	3.0	1=>2	2680.0	11.0	1=>2=>7	8970.0	27.0	625719843	6,2,1,5,7,4,(8,9),3	621754839	26175489																	
200953030806	ダ	右	1250	曇	重	13:30	C214		2009-3-8	20	福山	4	(馬齢)		4.0	200.0	1.0	4.0	100.0	1.0	3.0	120	2.0	7.0	150	3.0	3-4	300.0	1.0	4=>3	600.0	1.0	4=>3=>7	1340.0	1.0	347951826	347951826	347956812	347956812																	
200953032001	ダ	右	1250	晴	良	10:50	C24		2009-3-20	21	福山	2	(馬齢)		7.0	520.0	3.0	7.0	930.0	3.0	5.0	930	3.0				5-7	1310.0	5.0	7=>5	2790.0	11.0	7=>5=>6	4360.0	16.0	6725341	6725341	6752431	7654231																	
200953032002	ダ	右	1250	晴	良	11:20	C23		2009-3-20	21	福山	2	(馬齢)		5.0	130.0	1.0	5.0	120.0	1.0	2.0	130	2.0	4.0	420	7.0	2-5	310.0	1.0	5=>2	290.0	1.0	5=>2=>4	7230.0	20.0	57324168	57234168	57423618	52473618																	
200953032003	ダ	右	1250	晴	良	11:50	C22		2009-3-20	21	福山	2	(馬齢)		7.0	690.0	4.0	7.0	230.0	4.0	4.0	140	2.0	8.0	310	5.0	4-7	1500.0	6.0	7=>4	4020.0	20.0	7=>4=>8	41790.0	142.0	7,8,4,3,6,(2,1),5	7,8,(3,4),6,2,1,5	78463125	78431652																	
200953032004	ダ	右	1250	晴	良	12:20	C21		2009-3-20	21	福山	2	(馬齢)		2.0	320.0	2.0	2.0	100.0	1.0	3.0	100	2.0	5.0	150	4.0	2-3	310.0	1.0	2=>3	700.0	1.0	2=>3=>5	3960.0	12.0	28514637	28154637	25683417	25863417																	
200953032005	ダ	右	1250	晴	良	12:55	C29		2009-3-20	21	福山	2	(馬齢)		3.0	210.0	1.0	3.0	110.0	2.0	5.0	110	1.0	1.0	120	3.0	3-5	650.0	2.0	3=>5	1260.0	2.0	3=>5=>1	3340.0	2.0	245193786	241537986	241573698	2,4,3,1,5,7,6,(9,8)																	
200953032006	ダ	右	1250	晴	良	13:30	C28		2009-3-20	21	福山	2	(馬齢)		6.0	400.0	3.0	6.0	120.0	3.0	1.0	100	1.0	3.0	100	2.0	1-6	680.0	4.0	6=>1	1910.0	8.0	6=>1=>3	3100.0	12.0	168325497	163824597	163829745	1,6,3-8,2,7,9,4,5																	
200953032007	ダ	右	1250	晴	良	14:05	C27		2009-3-20	21	福山	2	(馬齢)		8.0	120.0	1.0	8.0	100.0	1.0	5.0	140	3.0	1.0	310	6.0	5-8	160.0	1.0	8=>5	230.0	1.0	8=>5=>1	1950.0	5.0	178293645	178293465	187932564	819753264																	
200953032008	ダ	右	1600	晴	良	14:40	春分の日特別 		2009-3-20	21	福山	2	(規定)		6.0	140.0	1.0	6.0	110.0	1.0	7.0	370	6.0	9.0	140	3.0	6-7	1840.0	8.0	6=>7	2560.0	9.0	6=>7=>9	25670.0	60.0	3,6,(2,9),4,8,5,7,10,1	36924857110	6,9,(3,4,5),2,8,7,10,1	69524783101																	
200953032009	ダ	右	1600	晴	良	15:15	杏の花特別 		2009-3-20	21	福山	2	(馬齢)		4.0	680.0	3.0	4.0	190.0	3.0	5.0	110	1.0	9.0	600	9.0	4-5	570.0	3.0	4=>5	1460.0	6.0	4=>5=>9	19930.0	62.0	79811042563	78911042563	7,9,8,(10,4),5,1,2,6,3	79841052163																	
200953032010	ダ	右	1800	晴	良	15:55	サンケイスポーツ杯第	G	2009-3-20	21	福山	2	牝(別定)		6.0	300.0	2.0	6.0	130.0	2.0	10.0	100	1.0	8.0	150	4.0	6-10	220.0	1.0	6=>10	590.0	2.0	6=>10=>8	2420.0	9.0	3,4,10,2,6,1,8,5,(9,7)	34102618579	31062185749	(10,6),3,1,8,2,5,7,9,4																	
200953032101	ダ	右	1250	晴	良	10:50	3歳3　条件		2009-3-21	21	福山	3	(馬齢)		8.0	4460.0	7.0	8.0	750.0	7.0	7.0	170	2.0	2.0	180	4.0	7-8	7500.0	18.0	8=>7	131050.0	54.0	8=>7=>2	414280.0	321.0	7,8,(1,2,5),(3,6),4	78125364	78123564	78123546																	
200953032102	ダ	右	1250	晴	良	11:20	3歳2　条件		2009-3-21	21	福山	3	(馬齢)		8.0	1920.0	5.0	8.0	230.0	4.0	7.0	120	2.0	2.0	100	1.0	7-8	3030.0	10.0	8=>7	8110.0	21.0	8=>7=>2	16560.0	57.0	2,(4,6),1,5,3,7,8	2,6,4,(1,5),3,7,8	2,6,(1,5),8,4,7,3	82651473																	
200953032103	ダ	右	1250	晴	良	11:50	3歳1　条件		2009-3-21	21	福山	3	(馬齢)		8.0	550.0	3.0	8.0	140.0	3.0	3.0	100	1.0	4.0	140	3.0	3-8	270.0	1.0	8=>3	1120.0	5.0	8=>3=>4	4910.0	16.0	38124576	38124576	38412756	38421576																	
200953032104	ダ	右	1250	晴	良	12:20	C218　イ		2009-3-21	21	福山	3	(馬齢)		1.0	390.0	2.0	1.0	200.0	3.0	8.0	230	5.0	5.0	210	4.0	1-8	2500.0	8.0	1=>8	4300.0	14.0	1=>8=>5	20660.0	56.0	18542103679	18524310679	18542310679	18542310679																	
200953032105	ダ	右	1250	晴	良	12:55	C212		2009-3-21	21	福山	3	(馬齢)		1.0	590.0	2.0	1.0	200.0	3.0	4.0	550	6.0	7.0	350	5.0	1-4	2580.0	10.0	1=>4	7700.0	20.0	1=>4=>7	51830.0	102.0	45816237	45816237	45781632	47158362																	
200953032106	ダ	右	1250	晴	良	13:30	C211		2009-3-21	21	福山	3	(馬齢)		2.0	120.0	1.0	2.0	100.0	1.0	5.0	280	5.0	4.0	980	8.0	2-5	1100.0	5.0	2=>5	1890.0	8.0	2=>5=>4	26980.0	66.0	436172985	431672598	436172598	4,(3,6),2,1,7,5,9,8																	
200953032107	ダ	右	1250	晴	良	14:05	C210		2009-3-21	21	福山	3	(馬齢)		1.0	210.0	2.0	1.0	110.0	1.0	9.0	150	3.0	3.0	190	4.0	1-9	340.0	1.0	1=>9	550.0	1.0	1=>9=>3	1640.0	2.0	1,5,(4,7),6,8,9,3,2	154768932	1,7,9,(4,5,3),6,8,2	194376825																	
200953041801	ダ	右	1250	晴	良	10:50	C22		2009-4-18	1	福山	2	(馬齢)		4.0	520.0	2.0	4.0	110.0	1.0	6.0	120	2.0	3.0	400	8.0	4-6	550.0	3.0	4=>6	1880.0	8.0	4=>6=>3	30430.0	81.0	18623475	18623475	18632475	1,(8,6),3,4,7,2,5																	
200953041803	ダ	右	1250	晴	良	11:50	C6		2009-4-18	1	福山	2	(馬齢)		7.0	180.0	1.0	7.0	100.0	3.0	5.0	100	1.0	3.0	100	2.0	5-7	600.0	3.0	7=>5	550.0	4.0	7=>5=>3	1160.0	4.0	579634812	576934812	576934812	573694812																	
200953050301	ダ	右	1250	曇	良	11:00	C2		2009-5-3	2	福山	1	(馬齢)		4.0	130.0	1.0	4.0	100.0	1.0	5.0	140	2.0				4-5	280.0	2.0	4=>5	320.0	2.0	4=>5=>6	1170.0	4.0	2735641	2735641	2,5,7,(3,4),6,1	2547361																	
200953050302	ダ	右	1250	曇	良	11:35	C1		2009-5-3	2	福山	1	(馬齢)		4.0	130.0	1.0	4.0	100.0	1.0	3.0	140	2.0				3-4	360.0	1.0	4=>3	620.0	3.0	4=>3=>2	4970.0	20.0	6435217	6435127	4632517	4,6,(3,2),1,5,7																	
200953050303	ダ	右	1250	曇	良	12:10	C5		2009-5-3	2	福山	1	(馬齢)		5.0	140.0	1.0	5.0	100.0	1.0	2.0	100	2.0	7.0	120	3.0	2-5	160.0	1.0	5=>2	210.0	1.0	5=>2=>7	1550.0	5.0	4562873	4562873	4526873	5426783																	
200953050304	ダ	右	1250	曇	良	12:45	C4		2009-5-3	2	福山	1	(馬齢)		3.0	120.0	1.0	3.0	100.0	1.0	5.0	100	2.0	7.0	220	4.0	3-5	160.0	1.0	3=>5	190.0	1.0	3=>5=>7	900.0	3.0	15732468	15732486	57138246	5,7,3,(2,4),1,8,6																	
200953051001	ダ	右	1250	晴	良	11:00	C5　ヘ		2009-5-10	2	福山	4	(馬齢)		3.0	130.0	1.0	3.0	100.0	1.0	1.0	160	4.0	2.0	140	3.0	1-3	340.0	1.0	3=>1	460.0	1.0	3=>1=>2	1560.0	5.0	23614758	23164578	2,3,(1,6),4,7,8,5	(2,3),1,6,8,4,7,5																	
200953051002	ダ	右	1250	晴	良	11:35	C5　ホ		2009-5-10	2	福山	4	(見込)		8.0	100.0	1.0	8.0	100.0	1.0	1.0	220	5.0	2.0	180	3.0	1-8	2270.0	7.0	8=>1	3120.0	9.0	8=>1=>2	16070.0	41.0	2,8,1,7,(3,4,5,6)	2,8,7,1,4,(3,5,6)	2,8,1,7,(3,4),5,6	28174356																	
200953052301	ダ	右	1250	晴	良	10:50	高知・福山連携海援隊		2009-5-23	3	福山	2	(馬齢)		7.0	100.0	1.0	7.0	100.0	1.0	3.0	130	2.0				3-7	190.0	1.0	7=>3	160.0	1.0	7=>3=>6	930.0	3.0	7,3,1,2,(4,5),6	7314256	7341256	7341256																	
200953052302	ダ	右	1250	晴	良	11:20	C4		2009-5-23	3	福山	2	(馬齢)		1.0	230.0	2.0	1.0	130.0	2.0	3.0	100	1.0				1-3	180.0	1.0	1=>3	410.0	2.0	1=>3=>5	700.0	2.0	1263457	1264357	1,2,3,(4,6),5,7	1324567																	
200953052303	ダ	右	1250	晴	良	11:50	C3		2009-5-23	3	福山	2	(馬齢)		2.0	150.0	1.0	2.0	100.0	1.0	5.0	150	2.0				2-5	260.0	1.0	2=>5	380.0	1.0	2=>5=>4	900.0	2.0	5,(6,7),2,4,3,1	5762431	7,(5,2),6,4,3,1	7254631																	
200953060601	ダ	右	1250	晴	良	10:50	C4		2009-6-6	4	福山	1	(馬齢)		6.0	430.0	2.0	6.0	130.0	2.0	3.0	100	1.0				3-6	180.0	1.0	6=>3	520.0	2.0	6=>3=>1	1280.0	4.0	631254	631254	6,3,1,2,(4,5)	631245																	
200953060602	ダ	右	1250	晴	良	11:20	高知・福山連携いろは		2009-6-6	4	福山	1	(馬齢)		5.0	100.0	1.0	5.0	100.0	1.0	6.0	190	3.0				5-6	220.0	2.0	5=>6	220.0	1.0	5=>6=>4	320.0	1.0	562413	562413	562413	564213																	
