	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201536011101	ダ	右	1300	曇	不良	10:30	C2十二組		2015-1-11	11	水沢	5			5.0	270.0	2.0	5.0	120	2.0	8.0	180	3.0	5-8	510.0	3.0	5-8	250	3.0	1-5	2,860	19.0	1-8	4,250	23.0	5=>8	650.0	3.0	1-5-8	8220.0	18.0	5=>8=>1	19940.0	55.0	(4,6),8,5,(1,2),(3,7)	46852137	4,6,8,5,(1,2),3,7	46851327			1.0	1,270	8.0			
201536011102	ダ	右	1300	曇	不良	11:05	C2十一組		2015-1-11	11	水沢	5			7.0	180.0	1.0	7.0	100	1.0	9.0	110	2.0	7-9	230.0	1.0	7-9	120	1.0	1-7	140	2.0	1-9	140	3.0	7=>9	370.0	1.0	1-7-9	190.0	1.0	7=>9=>1	710.0	1.0	7,(2,9),1,4,5,(6,8),3	729145368	729145638	792154638			1.0	120	3.0	7-8	210.0	1.0
201536011103	ダ	右	1300	曇	不良	11:40	C2十組		2015-1-11	11	水沢	5			5.0	170.0	1.0	5.0	100	1.0	3.0	110	2.0	3-5	230.0	1.0	3-5	120	1.0	4-5	160	3.0	3-4	140	2.0	5=>3	300.0	1.0	3-4-5	170.0	1.0	5=>3=>4	500.0	1.0	453781692	453781692	453817629	543816297			4.0	110	3.0	3-5	240.0	1.0
201536011104	ダ	右	1300	曇	不良	12:15	C2九組		2015-1-11	11	水沢	5			9.0	690.0	3.0	9.0	100	3.0	6.0	100	2.0	6-9	1210.0	3.0	6-9	160	3.0	3-9	130	1.0	3-6	140	2.0	9=>6	2260.0	7.0	3-6-9	190.0	1.0	9=>6=>3	3670.0	12.0	368491725	368941725	368941725	396817425			3.0	100	1.0	6-8	970.0	4.0
201536011105	ダ	右	1400	曇	不良	12:50	C2八組		2015-1-11	11	水沢	5			9.0	140.0	1.0	9.0	100	1.0	7.0	140	3.0	7-9	420.0	2.0	7-9	180	2.0	5-9	160	1.0	5-7	290	3.0	9=>7	640.0	2.0	5-7-9	440.0	1.0	9=>7=>5	1440.0	2.0	791523468	791523648	795123648	975361248			5.0	120	2.0	7-8	440.0	2.0
201536011106	ダ	右	1400	曇	不良	13:25	C2七組		2015-1-11	11	水沢	5			2.0	610.0	3.0	2.0	130	2.0	3.0	110	1.0	2-3	380.0	2.0	2-3	200	2.0	2-8	750	11.0	3-8	330	5.0	2=>3	1000.0	5.0	2-3-8	1380.0	5.0	2=>3=>8	6710.0	26.0	789235146	789231564	782935164	732859416			8.0	190	5.0	2-3	420.0	3.0
201536011107	ダ	右	1400	曇	不良	14:00	全日本農はだてのつど		2015-1-11	11	水沢	5			8.0	480.0	2.0	8.0	140	3.0	5.0	110	1.0	5-8	220.0	1.0	5-8	140	1.0	2-8	1,260	14.0	2-5	450	7.0	8=>5	1220.0	4.0	2-5-8	2010.0	7.0	8=>5=>2	10790.0	33.0	68954213	68954213	68951243	8,(6,9),5,1,2,4,3			2.0	350	6.0	5-8	140.0	1.0
201536011108	ダ	右	1400	曇	不良	14:35	雪あかりinにしわが		2015-1-11	11	水沢	5			6.0	180.0	1.0	6.0	110	1.0	8.0	270	5.0	6-8	1540.0	4.0	6-8	500	7.0	2-6	380	3.0	2-8	2,210	24.0	6=>8	2190.0	7.0	2-6-8	5040.0	17.0	6=>8=>2	18080.0	52.0	15382764	15382764	15826374	81562374			2.0	190	4.0			
201536011201	ダ	右	1400	小雪	不良	10:30	C2五組		2015-1-12	11	水沢	6			5.0	230.0	2.0	5.0	100	1.0	7.0	770	9.0	5-7	7300.0	10.0	5-7	810	10.0	5-8	120	1.0	7-8	610	8.0	5=>7	11390.0	13.0	5-7-8	880.0	4.0	5=>7=>8	20580.0	33.0	(2,3),5,7,8,9,1,4,10,6	(2,3),5,7,8,9,4,1,10,6	23587914106	58723941106			8.0	100	2.0	5-7	150.0	1.0
201536011202	ダ	右	1400	曇	不良	11:05	C2四組		2015-1-12	11	水沢	6			10.0	930.0	4.0	10.0	150	3.0	6.0	100	1.0	6-10	770.0	3.0	6-10	290	3.0	3-10	440	4.0	3-6	200	2.0	10=>6	2620.0	8.0	3-6-10	1390.0	4.0	10=>6=>3	14290.0	40.0	(10,9),6,4,3,(1,7),5,2,8	10936417528	10693417528	10639418725			3.0	160	4.0	6-8	500.0	4.0
201536011203	ダ	右	1400	曇	不良	11:40	C2三組		2015-1-12	11	水沢	6			2.0	280.0	1.0	2.0	150	2.0	3.0	240	3.0	2-3	660.0	3.0	2-3	270	2.0	2-10	530	7.0	3-10	1,040	14.0	2=>3	1250.0	3.0	2-3-10	2490.0	9.0	2=>3=>10	6920.0	18.0	2,10,4,3,9,5,1,(6,7),8	21034915687	21034165987	21034165987			10.0	330	4.0	2-3	830.0	4.0
201536011204	ダ	右	1400	曇	不良	12:15	震災復興子ども達に夢		2015-1-12	11	水沢	6			3.0	140.0	1.0	3.0	150	2.0	8.0	1,070	8.0	3-8	5790.0	12.0	3-8	1,340	15.0	2-3	1,130	11.0	2-8	7,810	33.0	3=>8	11130.0	21.0	2-3-8	43870.0	50.0	3=>8=>2	261270.0	238.0	3,(1,6),(2,10),4,8,7,9,5	31621048957	3,(1,6),2,10,4,8,5,9,7	31628410597			2.0	410	7.0	3-7	5400.0	9.0
201536011205	ダ	右	1400	曇	不良	12:50	C2一組		2015-1-12	11	水沢	6			10.0	110.0	1.0	10.0	100	1.0	2.0	110	2.0	2-10	410.0	2.0	2-10	170	2.0	4-10	130	1.0	2-4	260	3.0	10=>2	560.0	2.0	2-4-10	270.0	1.0	10=>2=>4	910.0	2.0	49103286751	49102386157	41092863157	10429861537			4.0	120	3.0	2-8	410.0	2.0
201536011206	ダ	右	1600	曇	不良	13:25	平庭高原スキー場まつ		2015-1-12	11	水沢	6			5.0	180.0	1.0	5.0	120	1.0	4.0	190	4.0	4-5	810.0	3.0	4-5	330	2.0	2-5	750	8.0	2-4	1,180	18.0	5=>4	1600.0	5.0	2-4-5	3950.0	13.0	5=>4=>2	17310.0	60.0	58726341	58726341	58274631	58247631			2.0	500	7.0			
201536011207	ダ	右	1600	小雨	不良	14:00	サイトギレースC1二		2015-1-12	11	水沢	6			6.0	410.0	2.0	6.0	110	2.0	1.0	100	1.0	1-6	250.0	1.0	1-6	140	1.0	4-6	290	4.0	1-4	190	2.0	6=>1	440.0	1.0	1-4-6	370.0	1.0	6=>1=>4	1490.0	3.0	647125839	647125839	641725893	641752893			4.0	150	4.0	1-6	240.0	1.0
201536011208	ダ	右	1600	曇	不良	14:35	スマイルアゲインレー		2015-1-12	11	水沢	6			3.0	700.0	2.0	3.0	200	3.0	5.0	170	2.0	3-5	1820.0	5.0	3-5	390	4.0	2-3	2,610	20.0	2-5	2,650	21.0	3=>5	3850.0	12.0	2-3-5	14530.0	31.0	3=>5=>2	62310.0	123.0	4,9,1,5,(3,8),7,6,2	4,9,1,5,3,(2,8),7,6	495132768	495132768			2.0	740	8.0	3-5	1650.0	5.0
201536011209	ダ	右	1600	曇	不良	15:15	トウケイニセイ記念	G	2015-1-12	11	水沢	6			5.0	370.0	2.0	5.0	100	1.0	10.0	110	2.0	5-10	320.0	1.0	5-10	170	2.0	4-5	220	3.0	4-10	160	1.0	5=>10	730.0	3.0	4-5-10	260.0	1.0	5=>10=>4	1480.0	3.0	5101114932678	5101114932678	5,10,11,1,4,9,3,(2,6,7),8	5,10,11,4,9,(3,7),1,2,6,8			4.0	110	3.0	5-8	340.0	2.0
201536032101	ダ	右	1300	晴	重	11:30	春競馬オープニングC		2015-3-21	12	水沢	1			6.0	130.0	1.0	6.0	100	1.0	1.0	110	2.0	1-6	360.0	2.0	1-6	190	1.0	6-9	410	7.0	1-9	780	9.0	6=>1	630.0	2.0	1-6-9	1360.0	4.0	6=>1=>9	3090.0	9.0	697814532	697184532	6,(9,1),8,7-4,5,3,2	6,1,9,8,7-4,5,3-2			9.0	280	6.0	1-6	460.0	1.0
201536032102	ダ	右	1300	晴	重	12:05	C2十八組		2015-3-21	12	水沢	1			5.0	190.0	1.0	5.0	130	2.0	8.0	460	7.0	5-8	5470.0	14.0	5-8	1,390	15.0	2-5	660	10.0	2-8	5,290	27.0	5=>8	5600.0	16.0	2-5-8	21050.0	40.0	5=>8=>2	111060.0	173.0	5,8,6,(2,3),7,1,4	5,8,2,6,3,(1,7),4	58623741	58627314			2.0	180	3.0			
201536032103	ダ	右	1300	晴	重	12:40	C2十七組		2015-3-21	12	水沢	1			1.0	130.0	1.0	1.0	100	1.0	5.0	160	3.0	1-5	250.0	1.0	1-5	180	1.0	1-2	620	8.0	2-5	1,430	17.0	1=>5	310.0	1.0	1-2-5	2270.0	8.0	1=>5=>2	4610.0	16.0	1,2,5,6,(7,8),3,4	1,2,5,(3,6),8,4,7	1,2,5,(3,8),6,4,7	1,2,5,3,8,4,6-7			2.0	280	6.0			
201536032104	ダ	右	1300	晴	重	13:15	C2十六組		2015-3-21	12	水沢	1			9.0	1600.0	5.0	9.0	200	5.0	1.0	110	2.0	1-9	980.0	4.0	1-9	300	4.0	7-9	520	5.0	1-7	200	1.0	9=>1	2700.0	10.0	1-7-9	810.0	2.0	9=>1=>7	8630.0	27.0	981435672	9,8,1,4,3,(5,7),6,2	9,8,4,1,3,(7,6),5,2	914837652			7.0	100	1.0	1-8	430.0	2.0
201536032105	ダ	右	1300	晴	重	13:55	C2十五組		2015-3-21	12	水沢	1			1.0	1050.0	2.0	1.0	110	1.0	3.0	230	4.0	1-3	5230.0	11.0	1-3	1,010	10.0	1-4	1,090	12.0	3-4	1,410	20.0	1=>3	13260.0	33.0	1-3-4	11550.0	32.0	1=>3=>4	111850.0	203.0	48635172	4,3,8,(6,5),1,2,7	4,3,(1,8),5,(2,6),7	43128567			4.0	120	2.0			
201536032106	ダ	右	1300	晴	重	14:35	C2十四組		2015-3-21	12	水沢	1			1.0	750.0	4.0	1.0	210	4.0	3.0	140	2.0	1-3	1650.0	6.0	1-3	570	6.0	1-8	2,900	29.0	3-8	1,280	15.0	1=>3	3790.0	14.0	1-3-8	13740.0	38.0	1=>3=>8	88730.0	184.0	6,(1,5,10),8,3,7,4,9,2	6,1,5,10,8,(3,7),4,2,9	1,6,5,7,(8,3),10,4,2,9	16387542109			8.0	630	7.0	1-3	1720.0	6.0
201536032107	ダ	右	1300	晴	重	15:15	夢競馬スタートC2十		2015-3-21	12	水沢	1			3.0	150.0	1.0	3.0	110	1.0	1.0	190	4.0	1-3	730.0	3.0	1-3	210	1.0	3-4	530	6.0	1-4	670	10.0	3=>1	1050.0	3.0	1-3-4	1620.0	7.0	3=>1=>4	5140.0	12.0	10129463587	1,10,2,9,4,(3,6),5,7,8	1,10,9,2,6,4,3,5-7,8	1,2,(10,9),3,6,4,5,7-8			4.0	320	7.0	1-3	780.0	3.0
201536032108	ダ	右	1600	晴	重	15:55	ウェルカム3歳A		2015-3-21	12	水沢	1			1.0	140.0	1.0	1.0	110	2.0	6.0	100	1.0	1-6	320.0	1.0	1-6	160	1.0	1-2	220	2.0	2-6	250	3.0	1=>6	440.0	1.0	1-2-6	390.0	1.0	1=>6=>2	1040.0	1.0	8,(7,1),6,2,5,3,4,9	817625349	8,1,6,2,7,(5,3),4-9	(8,1),6,5,2,3,4,7,9			2.0	140	3.0	1-6	270.0	1.0
201536032109	ダ	右	1600	晴	重	16:30	春の扉B1二組		2015-3-21	12	水沢	1			7.0	740.0	4.0	7.0	290	3.0	1.0	790	11.0	1-7	17650.0	52.0	1-7	2,820	43.0	7-10	1,110	15.0	1-10	5,840	53.0	7=>1	30930.0	98.0	1-7-10	60260.0	146.0	7=>1=>10	296610.0	827.0	9451211631078	9451231161078	9,4,5,(1,2),(3,6),7,(10,11),8	9451237106118			10.0	310	4.0	1-6	5290.0	19.0
201536032110	ダ	右	1400	晴	重	17:05	新たな希望スタートB		2015-3-21	12	水沢	1			8.0	1230.0	4.0	8.0	100	1.0	6.0	120	2.0	6-8	1020.0	3.0	6-8	360	3.0	5-8	1,020	16.0	5-6	440	4.0	8=>6	2760.0	9.0	5-6-8	2180.0	9.0	8=>6=>5	14520.0	45.0	8,(2,3),1,(4,10),5,7,11,6,9,12	8,2,1,3,4,5,10,(6,7),11,9,12	8,2,3,1,(5,10),11,4,6,7,12,9	812563114109712			5.0	220	6.0	5-6	630.0	3.0
201536032301	ダ	右	1400	曇	重	11:30	C2六組		2015-3-23	12	水沢	3			5.0	110.0	1.0	5.0	100	1.0	4.0	120	2.0	4-5	280.0	2.0	4-5	210	2.0	1-5	290	3.0	1-4	640	9.0	5=>4	410.0	2.0	1-4-5	1060.0	4.0	5=>4=>1	1550.0	5.0	5,(7,4,6),1,3,2,8	57416328	54716328	5,(1,4),6,7,3,8,2			1.0	170	4.0			
201536032302	ダ	右	1400	曇	重	12:05	C2五組		2015-3-23	12	水沢	3			1.0	130.0	1.0	1.0	110	1.0	3.0	150	2.0	1-3	670.0	4.0	1-3	240	2.0	1-4	320	4.0	3-4	460	6.0	1=>3	810.0	2.0	1-3-4	980.0	4.0	1=>3=>4	2990.0	8.0	1,(4,8),5,6,3,7,2	1,4,8,(5,3),6,7,2	14837562	1,3,(4,8),5,7,2,6			4.0	210	5.0			
201536032303	ダ	右	1400	曇	重	12:40	C2四組		2015-3-23	12	水沢	3			2.0	230.0	1.0	2.0	140	2.0	3.0	140	3.0	2-3	340.0	1.0	2-3	190	2.0	1-2	420	6.0	1-3	420	7.0	2=>3	420.0	1.0	1-2-3	630.0	3.0	2=>3=>1	1780.0	4.0	25168437	25164837	(2,5),(1,6),(3,8),4,7	25143687			1.0	170	4.0			
201536032304	ダ	右	1400	曇	重	13:15	C2三組		2015-3-23	12	水沢	3			7.0	240.0	1.0	7.0	100	2.0	2.0	100	1.0	2-7	290.0	1.0	2-7	150	1.0	1-7	210	3.0	1-2	170	2.0	7=>2	550.0	1.0	1-2-7	340.0	1.0	7=>2=>1	1300.0	1.0	576193428	5,7,6,1,(3,9),2,(8,4)	576139284	(5,7),1,2,6,3,9,8,4			1.0	110	3.0	2-7	350.0	1.0
201536032305	ダ	右	1400	曇	重	13:55	C2二組		2015-3-23	12	水沢	3			7.0	1570.0	7.0	7.0	460	8.0	2.0	130	2.0	2-7	4050.0	22.0	2-7	1,350	22.0	5-7	1,050	21.0	2-5	320	2.0	7=>2	10100.0	51.0	2-5-7	4410.0	20.0	7=>2=>5	49940.0	216.0	739562841	7,3,9,5,6,(2,8),4,1	739562841	739526481			5.0	110	1.0	2-7	3710.0	16.0
201536032801	ダ	右	1400	晴	良	11:30	3歳B2二組		2015-3-28	12	水沢	4			2.0	200.0	1.0	2.0	130	1.0	3.0	450	5.0	2-3	770.0	3.0	2-3	290	2.0	2-4	320	3.0	3-4	810	12.0	2=>3	1110.0	3.0	2-3-4	1610.0	6.0	2=>3=>4	4760.0	15.0	2351476	2,3,(1,5),4,7,6	2351476	2,3,1,4,5,(7,6)								
201536032802	ダ	右	1400	晴	良	12:05	3歳B2一組		2015-3-28	12	水沢	4			6.0	3430.0	6.0	6.0	520	6.0	2.0	230	3.0	2-6	5200.0	13.0	2-6	1,060	12.0	4-6	3,790	21.0	2-4	1,210	14.0	6=>2	18550.0	29.0	2-4-6	15800.0	31.0	6=>2=>4	232260.0	177.0	2,(3,7),5,6,4,1	2375641	2,3,7,6,5,(4,1)	2637451								
201536032803	ダ	右	1300	晴	良	12:40	C2十八組		2015-3-28	12	水沢	4			3.0	490.0	3.0	3.0	400	4.0	1.0	220	2.0	1-3	1110.0	5.0	1-3	330	5.0	3-5	840	13.0	1-5	360	6.0	3=>1	2050.0	10.0	1-3-5	2290.0	10.0	3=>1=>5	16520.0	63.0	3425176	3425176	3425176	3425176								
201536032804	ダ	右	1300	晴	良	13:15	C2十七組		2015-3-28	12	水沢	4			1.0	190.0	1.0	1.0	120	2.0	6.0	120	1.0	1-6	230.0	1.0	1-6	170	1.0	1-2	1,220	14.0	2-6	1,640	17.0	1=>6	440.0	1.0	1-2-6	3060.0	9.0	1=>6=>2	9840.0	27.0	61853472	6,1,(3,8),5,4,7,2	61385472	61358247			2.0	480	6.0			
201536032805	ダ	右	1300	晴	良	13:55	C2十六組		2015-3-28	12	水沢	4			4.0	390.0	2.0	4.0	100	2.0	2.0	100	1.0	2-4	190.0	1.0	2-4	120	1.0	1-4	150	3.0	1-2	140	2.0	4=>2	700.0	3.0	1-2-4	230.0	1.0	4=>2=>1	1530.0	4.0	(1,6),8,5,7,2,3,4	16857234	1,6-8,(4,5,2),3,7	16482357			1.0	130	3.0			
201536032806	ダ	右	1300	晴	良	14:35	C2十五組		2015-3-28	12	水沢	4			7.0	3000.0	6.0	7.0	200	3.0	5.0	130	2.0	5-7	3100.0	9.0	5-7	640	9.0	3-7	1,230	15.0	3-5	530	6.0	7=>5	10490.0	20.0	3-5-7	5320.0	16.0	7=>5=>3	53880.0	100.0	(2,5),4,6,3,1,8,7	2,5,4,3,6,1,(7,8)	(2,5),4,3,6,(7,1),8	5,2,(4,3),7,6,1,8			3.0	250	4.0			
201536032807	ダ	右	1300	晴	良	15:15	雪どけC2十四組		2015-3-28	12	水沢	4			4.0	1120.0	5.0	4.0	310	5.0	8.0	140	3.0	4-8	2450.0	10.0	4-8	680	10.0	4-7	270	4.0	7-8	230	2.0	4=>8	4750.0	20.0	4-7-8	1370.0	5.0	4=>8=>7	16670.0	62.0	34815276	34815726	(3,4),8,7,(1,5),2-6	(3,4),8,1,7,5,2-6			7.0	110	1.0			
201536032808	ダ	右	1300	晴	良	15:55	岩手早咲きC2十三組		2015-3-28	12	水沢	4			3.0	1160.0	3.0	3.0	200	4.0	4.0	100	1.0	3-4	1080.0	4.0	3-4	300	5.0	2-3	240	4.0	2-4	110	1.0	3=>4	3120.0	11.0	2-3-4	370.0	1.0	3=>4=>2	5580.0	18.0	47836215	4,7,(3,8),6,2,1,5	47836215	43726815			2.0	120	2.0			
201536032809	ダ	右	1600	晴	良	16:30	東風特別 		2015-3-28	12	水沢	4			2.0	450.0	3.0	2.0	170	2.0	10.0	990	9.0	2-10	4160.0	17.0	2-10	1,570	19.0	2-11	810	7.0	10-11	1,580	20.0	2=>10	10110.0	35.0	2-10-11	22080.0	61.0	2=>10=>11	80630.0	239.0	3,10,8,5,4,9,2,7,6,(1,11)	3105849276111	10,8,3,7,5,(2,9),6,4,11,1	1082567341191			11.0	320	4.0	2-8	2200.0	11.0
201536033001	ダ	右	1300	晴	良	11:30	3歳C2二組		2015-3-30	12	水沢	6			10.0	740.0	4.0	10.0	170	5.0	6.0	130	2.0	6-10	1390.0	5.0	6-10	470	5.0	9-10	310	4.0	6-9	230	3.0	10=>6	2610.0	9.0	6-9-10	710.0	2.0	10=>6=>9	6680.0	17.0	10,1,(6,7),4,9,8,5,2,3	10,1,6,4,9,8,5,7,2-3	10,6,1,(9,2),8,7,5,4=3	10,6,9,8,(1,2)-5,7,4=3			9.0	120	1.0	6-8	240.0	1.0
201536033002	ダ	右	1300	晴	良	12:05	3歳C2一組		2015-3-30	12	水沢	6			1.0	130.0	1.0	1.0	110	1.0	3.0	230	3.0	1-3	800.0	3.0	1-3	160	2.0	1-4	100	1.0	3-4	220	4.0	1=>3	1040.0	4.0	1-3-4	310.0	1.0	1=>3=>4	1380.0	5.0	(3,4),5,1,7,2	3,4,(1,5),7,2	(3,4,1),(7,5),2	1,4,3-7,5,2								
201536033003	ダ	右	1400	晴	良	12:40	C2五組		2015-3-30	12	水沢	6			3.0	130.0	1.0	3.0	100	1.0	6.0	110	2.0	3-6	120.0	1.0	3-6	110	1.0	3-4	180	2.0	4-6	220	5.0	3=>6	180.0	1.0	3-4-6	360.0	3.0	3=>6=>4	540.0	3.0	364152	364152	3,6,4,(1,5),2	364152								
