	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201054020705	ダ	右	1300	晴	稍重	17:35	E9		2010-2-7	17	高知	2	(見込)		5	2420	4	5	110	3	4	100	2	1.0	100.0	1.0	4-5	4870	8	4-5	510	6	1-5	250	4	1-4	160	2	5=>4	19840	20	1-4-5	560	2	5=>4=>1	19070	36.0	5,4,(1,7),3,2,8,6	5,(1,4),7,3,2,8,6	5,4,(1,7),(2,3),8,6	5,(1,4),7,2,6,(3,8)		
201054020706	ダ	右	1300	晴	稍重	18:05	E8		2010-2-7	17	高知	2	(見込)		6	100	1	6	110	1	9	140	2				6-9	310	1	6-9	140	1	6-7	170	3	7-9	450	7	6=>9	260	1	6-7-9	450	2	6=>9=>7	790	3.0	6,9,2,7,(1,8),4	6927184	6,9,(2,7),4,1,8	6974182		
201054030701	ダ	右	1400	曇	不良	15:35	E6		2010-3-7	18	高知	6	(見込)		1	100	1	1	100	1	2	330	4				1-2	330	3	1-2	190	3	1-6	130	1	2-6	570	10	1=>2	370	2	1-2-6	690	5	1=>2=>6	1090	5.0	1,7,6,5,4,(2,3)	1746523	6174253	1,(6,7,2),4,3,5		
201054030702	ダ	右	1400	曇	不良	16:05	とさのおきゃく特別		2010-3-7	18	高知	6	(見込)		3	140	1	3	100	1	9	440	6	4.0	300.0	4.0	3-9	2370	5	3-9	750	6	3-4	580	4	4-9	1,780	11	3=>9	2390	5	3-4-9	5020	11	3=>9=>4	9990	25.0	5,8,9,3,(1,4,6),2,7	5,8,(3,9),(1,4,6),2,7	5,(8,9),(3,6),(1,4),2,7	3,(1,5,9),(2,4),(8,6),7		
201054030703	ダ	右	1300	曇	不良	16:35	水谷絵理誕生日特別		2010-3-7	18	高知	6	(見込)		3	110	1	3	100	1	1	100	2	6.0	300.0	6.0	1-3	210	1	1-3	170	1	3-6	860	12	1-6	1,360	13	3=>1	280	2	1-3-6	3170	9	3=>1=>6	4100	13.0	8,(1,2),7,5,3,6,4	8,1,(3,2),5,7,6,4	8,1,3,(2,5,7),6,4	1,(8,3),6,7,5,4,2		
201054030704	ダ	右	1300	曇	不良	17:05	3月22日黒船賞特別		2010-3-7	18	高知	6	(見込)		4	120	1	4	100	2	7	100	1	8.0	140.0	4.0	4-7	150	1	4-7	100	1	4-8	150	2	7-8	170	4	4=>7	190	1	4-7-8	230	2	4=>7=>8	520	1.0	4,(6,7),8,(2,3),1,5	46783215	4,6,7,8,3,1,(2,5)	47861352		
201054030705	ダ	右	1300	曇	不良	17:35	Cイ		2010-3-7	18	高知	6	(見込)		7	120	1	7	110	1	5	320	7	3.0	210.0	3.0	5-7	2200	6	5-7	680	9	3-7	250	2	3-5	1,240	11	7=>5	2290	8	3-5-7	2980	8	7=>5=>3	9010	26.0	57341862	57314682	5,7,(1,3),4,6,2,8	5,7,(1,3),4,(2,6),8		
201054030706	ダ	右	1300	曇	不良	18:05	E8		2010-3-7	18	高知	6	(見込)		8	1280	5	8	140	4	9	110	2	2.0	100.0	1.0	8-9	1640	6	8-9	290	4	2-8	300	5	2-9	140	1	8=>9	3370	9	2-8-9	520	2	8=>9=>2	10270	29.0	248963517	284963517	284965317	8,2,9,4,3,6,(7,5),1		
201054030707	ダ	右	1300	曇	不良	18:35	E7		2010-3-7	18	高知	6	(見込)		8	110	1	8	100	1	2	100	2	9.0	160.0	4.0	2-8	120	1	2-8	100	1	8-9	210	5	2-9	190	4	8=>2	150	1	2-8-9	260	2	8=>2=>9	340	1.0	8,(4,5,9),2,6,3,1,7	8,2,(5,9),4,(3,6),1,7	8,(2,9),4,5,(3,6),1,7	829451736		
201054032201	ダ	右	1300	晴	不良	13:40	伊予牛特別		2010-3-22	19	高知	4	(見込)		4	520	3	4	150	1	2	160	3				2-4	440	3	2-4	230	3	4-5	360	5	2-5	340	4	4=>2	1420	6	2-4-5	710	3	4=>2=>5	6050	21.0	2,4,(1,6),5,3	241653	246153	425613		
201054032202	ダ	右	1300	晴	不良	14:10	阿波牛特別		2010-3-22	19	高知	4	(見込)		3	160	1	3	100	1	2	120	2				2-3	120	1	2-3	100	1	3-4	180	2	2-4	210	5	3=>2	210	1	2-3-4	290	2	3=>2=>4	420	2.0	3,7,2,6,1,(4,5)	3726145	3,(2,7),6,4,1,5	3271465		
201054032203	ダ	右	1300	晴	不良	14:40	おいしい讃岐三蓄特別		2010-3-22	19	高知	4	(見込)		7	310	2	7	280	4	1	250	3				1-7	2110	8	1-7	470	8	6-7	240	3	1-6	460	6	7=>1	4260	15	1-6-7	1440	6	7=>1=>6	18630	57.0	1,6,7,(3,5),2,4	1,6,7,(3,5),2,4	1673254	1,7,(3,6),4,(5,2)		
201054032204	ダ	右	1300	晴	不良	15:15	四国の食肉応援特別		2010-3-22	19	高知	4	(見込)		2	610	4	2	400	5	5	240	4				2-5	900	6	2-5	590	8	1-2	2,330	18	1-5	1,880	15	2=>5	1610	8	1-2-5	8370	18	2=>5=>1	42830	83.0	2563471	2563471	2563471	2536471		
201054032205	ダ	右	1400	晴	不良	15:50	はりまや盃[JRA指 		2010-3-22	19	高知	4	(定量)		3	600	3	3	230	3	10	850	9	5.0	350.0	5.0	3-10	12120	23	3-10	2,850	28	3-5	940	10	5-10	990	11	3=>10	15250	35	3-5-10	20480	50	3=>10=>5	106960	222.0	3,10,11,(6,7),(4,8),9,(2,5),1	3101167485219	3,10,11,6,7,8,(4,5),(2,1),9	3610511789142		
201054032206	ダ	右	1400	晴	不良	16:30	黒船賞[指定交流]	G3	2010-3-22	19	高知	4	(別定)		10	220	1	10	110	1	9	120	2	4.0	130.0	3.0	9-10	260	1	9-10	140	1	4-10	170	3	4-9	150	2	10=>9	510	1	4-9-10	240	1	10=>9=>4	1100	1.0	2,6,(4,10),(5,7,12),11,(1,9),8,3	2,6,4,10,7,(5,12),11,9,(1,8),3	2,6,(4,10),(7,9),(5,12),(11,8),1,3	10,4,9,2,8,6,11,7,12,(5,3),1		
201054032207	ダ	右	1300	晴	不良	17:20	頑張れ高知けいば特別		2010-3-22	19	高知	4	(見込)		6	110	1	6	100	1	3	120	2				3-6	120	1	3-6	100	1	6-7	220	3	3-7	440	8	6=>3	130	1	3-6-7	450	2	6=>3=>7	580	3.0	6714325	6731425	6,(3,7),1,4,(2,5)	6371245		
201054040401	ダ	右	1300	曇	重	15:35	C2ニ		2010-4-4	1	高知	2	(見込)		3	100	1	3	100	1	2	100	2				2-3	120	1	2-3	100	1	3-4	110	3	2-4	100	2	3=>2	130	1	2-3-4	110	1	3=>2=>4	160	1.0	35124	35124	35214	3,2,(5,4),1		
201054040402	ダ	右	1300	曇	重	16:10	C2ハ		2010-4-4	1	高知	2	(見込)		6	190	1	6	100	1	1	110	2				1-6	130	1	1-6	100	1	3-6	100	2	1-3	140	3	6=>1	230	1	1-3-6	140	1	6=>1=>3	400	1.0	1,5,6,(3,4),2	1,6,5,(3,4),2	1,6,4,(3,2),5	1,(3,6),4,(5,2)		
201054040403	ダ	右	1300	曇	重	16:45	C2ロ		2010-4-4	1	高知	2	(見込)		2	120	1	2	110	1	4	200	4				2-4	420	2	2-4	130	2	2-5	100	1	4-5	150	3	2=>4	430	2	2-4-5	120	1	2=>4=>5	640	2.0	4572631	4572631	4527631	4526713		
201054040404	ダ	右	1300	曇	重	17:20	C3ー9		2010-4-4	1	高知	2	(見込)		2	220	2	2	180	2	6	330	3				2-6	550	3	2-6	140	2	2-4	500	6	4-6	330	5	2=>6	1090	4	2-4-6	850	3	2=>6=>4	2840	8.0	612435	162435	1,6,2,4,(3,5)	6,2,(4,1),3,5		
201054040405	ダ	右	1300	曇	重	17:50	C3ー8		2010-4-4	1	高知	2	(見込)		7	130	1	7	110	1	2	130	2				2-7	160	1	2-7	120	1	6-7	390	5	2-6	1,080	11	7=>2	220	1	2-6-7	1580	5	7=>2=>6	1680	7.0	7,5,1,4,2,(3,6)	7514236	7512436	7512634		
201054040406	ダ	右	1400	曇	重	18:20	C3ー7		2010-4-4	1	高知	2	(見込)		1	540	3	1	110	2	3	110	1				1-3	160	1	1-3	100	1	1-6	110	3	3-6	100	2	1=>3	820	4	1-3-6	130	1	1=>3=>6	1370	3.0	7,3,4,1,(2,6),5	7,3,(1,4),6,2,5	3176425	(3,1),6,4,7,(2,5)		
201054040407	ダ	右	1300	曇	重	18:55	C3ー6		2010-4-4	1	高知	2	(見込)		3	100	1	3	110	1	5	130	3				3-5	170	1	3-5	130	1	2-3	2,640	10	2-5	2,810	11	3=>5	170	1	2-3-5	3620	7	3=>5=>2	6590	12.0	3561247	3561247	3561247	3562147		
201054041701	ダ	右	1300	晴	不良	15:50	土佐茶特別		2010-4-17	2	高知	1	(見込)		9	280	2	9	100	2	3	100	1	1.0	170.0	3.0	3-9	160	1	3-9	100	1	1-9	150	2	1-3	280	5	9=>3	410	2	1-3-9	210	1	9=>3=>1	740	1.0	49813657210	49813625710	4,9,8,3,1,(2,6),(5,7),10	9,(1,3),(4,8),2,6,5,7,10		
201054041702	ダ	右	1300	晴	不良	16:25	C3ー9　記者選抜		2010-4-17	2	高知	1	(見込)		2	200	2	2	110	2	3	100	1				2-3	120	1	2-3	100	1	1-2	240	5	1-3	220	4	2=>3	280	2	1-2-3	170	1	2=>3=>1	570	3.0	32514	32514	32514	32514		
201054041703	ダ	右	1300	晴	不良	17:00	3歳イ		2010-4-17	2	高知	1	(見込)		7	520	2	7	180	3	4	140	2				4-7	1110	3	4-7	790	3	1-7	1,190	4	1-4	1,330	5	7=>4	1520	6	1-4-7	2700	4	7=>4=>1	7460	14.0	7435126	7,4,(3,5),1,2,6	7431526	7413256		
201054041704	ダ	右	1400	晴	不良	17:30	鴨田志郎誕生日特別		2010-4-17	2	高知	1	(見込)		7	120	1	7	100	2	3	100	1				3-7	130	1	3-7	100	1	4-7	130	2	3-4	400	7	7=>3	160	1	3-4-7	270	2	7=>3=>4	460	1.0	7,3,(1,5),2,6,4	7315264	7,3,1,5,(4,2),6	7341256		
201054041705	ダ	右	1300	晴	不良	18:00	C3ー5		2010-4-17	2	高知	1	(見込)		5	360	3	5	170	3	2	110	1				2-5	690	3	2-5	130	1	3-5	160	4	2-3	340	5	5=>2	1650	7	2-3-5	940	4	5=>2=>3	4510	15.0	2,6,4,5,7,(1,3)	2,(5,6),(4,7),(1,3)	2,(5,6),4,7,3,1	5246731		
201054041706	ダ	右	1300	晴	不良	18:35	C3ー4		2010-4-17	2	高知	1	(見込)		3	1610	4	3	840	4	1	1,340	5				1-3	9740	14	1-3	1,700	14	3-4	560	8	1-4	800	10	3=>1	22910	24	1-3-4	5720	13	3=>1=>4	69550	88.0	1,7,4,(2,3,6),5	1,7,4,3,2,(5,6)	1,7,4,3,5,6-2	1,5,3,7,4,6-2		
201054041707	ダ	右	1300	晴	不良	19:10	C3ー3		2010-4-17	2	高知	1	(見込)		1	200	2	1	140	2	3	120	1				1-3	130	1	1-3	140	1	1-7	2,070	14	3-7	940	6	1=>3	320	2	1-3-7	1330	4	1=>3=>7	3120	11.0	1473526	1473256	1,4,(3,7,5),2,6	1,3,5,(2,4,7),6		
201054041708	ダ	右	1300	晴	不良	19:45	C3ー7　記者選抜		2010-4-17	2	高知	1	(見込)		9	500	4	9	140	3	5	110	1	8.0	120.0	2.0	5-9	640	3	5-9	320	3	8-9	420	5	5-8	240	2	9=>5	2230	8	5-8-9	680	1	9=>5=>8	8000	19.0	9,8,1,2,3,6,10,(4,5),7	9,1,8,2,(3,6),4,5,10,7	98156324107	95831462710		
201054041709	ダ	右	1400	晴	不良	20:20	新緑萌ゆる土佐路特別 		2010-4-17	2	高知	1	(見込)		6	110	1	6	110	1	1	110	2				1-6	320	2	1-6	130	1	5-6	160	3	1-5	330	6	6=>1	320	2	1-5-6	380	2	6=>1=>5	940	4.0	6173524	6132754	6135724	6135274		
201054051601	ダ	右	1400	晴	良	15:50	高知上りガツオ特別 		2010-5-16	4	高知	2	(見込)		7	100	1	7	100	1	6	130	2	4.0	220.0	5.0	6-7	110	1	6-7	130	1	4-7	300	3	4-6	350	5	7=>6	160	1	4-6-7	380	2	7=>6=>4	450	2.0	7,8,6,4,3,2,(1,5)	78643251	7,6,(4,8),3,2,5,1	76423851		
201054053001	ダ	右	1300	曇	良	16:00	C2　ー7		2010-5-30	5	高知	2	(見込)		1	560	2	1	130	2	2	100	1				1-2	250	2	1-2	100	1	1-5	170	3	2-5	110	2	1=>2	950	4	1-2-5	150	1	1=>2=>5	1400	4.0	152346	1,5,2,3,(6,4)	152364	152634		
201054053002	ダ	右	1300	曇	良	16:35	C3イ		2010-5-30	5	高知	2	(見込)		8	110	1	8	100	1	2	140	3	3.0	360.0	5.0	2-8	440	2	2-8	170	2	3-8	420	5	2-3	1,000	10	8=>2	580	2	2-3-8	1870	6	8=>2=>3	3860	12.0	2,8,(3,7),4,6,5,1	28734651	28734651	82734651		
201054053003	ダ	右	1300	曇	良	17:10	高城レイラ誕生日特別		2010-5-30	5	高知	2	(見込)		9	100	1	9	100	1	3	110	2	1.0	140.0	4.0	3-9	110	1	3-9	120	1	1-9	320	5	1-3	730	8	9=>3	120	1	1-3-9	1790	4	9=>3=>1	3030	6.0	9,3,(1,5),8,6,4,2,7	9,3,1,5,6,(4,8),2,7	931564827	931564287		
201054062501	ダ	右	1300	雨	不良	15:40	C3ロ		2010-6-25	6	高知	5	(見込)		3	110	1	3	100	1	2	100	2				2-3	100	1	2-3	100	1	3-5	110	2	2-5	130	3	3=>2	150	1	2-3-5	120	1	3=>2=>5	170	1.0	32541	32541	32541	32541		
201054062502	ダ	右	1300	雨	不良	16:15	C3イ		2010-6-25	6	高知	5	(見込)		7	100	1	7	100	1	2	160	3				2-7	270	1	2-7	180	3	3-7	170	1	2-3	890	10	7=>2	220	1	2-3-7	760	3	7=>2=>3	940	3.0	7,5,3,(4,6),2,1	7,(2,3),5,6,4,1	7,3,2,5,6,(4,1)	7,2,(6,3),5,(4,1)		
201054062503	ダ	右	1300	雨	不良	16:50	C2　ー7		2010-6-25	6	高知	5	(見込)		3	130	1	3	100	1	4	130	2				3-4	380	2	3-4	180	3	3-7	440	4	4-7	540	6	3=>4	450	2	3-4-7	1530	4	3=>4=>7	2600	6.0	(2,3),6,(4,7),5,1	3,2,7,6,4,(1,5)	3274615	3,(4,7),2,1,6,5		
201054062504	ダ	右	1300	雨	不良	17:25	結婚記念特別		2010-6-25	6	高知	5	(見込)		3	130	1	3	100	1	1	110	2	7.0	120.0	3.0	1-3	210	1	1-3	140	2	3-7	150	3	1-7	620	9	3=>1	220	1	1-3-7	870	5	3=>1=>7	1420	4.0	32617584	3,2,1,6,7,5,(4,8)	3,2,1,6,7,(4,8),5	3,1,2,(7,6),4,8,5		
201054062505	ダ	右	1300	雨	不良	18:00	いの町手箱山氷室まつ 		2010-6-25	6	高知	5	(見込)		7	380	4	7	130	2	5	120	1	3.0	440.0	6.0	5-7	700	5	5-7	290	4	3-7	1,870	15	3-5	1,200	12	7=>5	1270	5	3-5-7	7010	19	7=>5=>3	17100	44.0	75481263	75481623	7,5,(1,8,3),4,6,2	(7,5),3,(1,8),(2,6),4		
201054062506	ダ	右	1300	雨	不良	18:35	C2　ー6		2010-6-25	6	高知	5	(見込)		7	150	1	7	100	2	1	100	1				1-7	120	1	1-7	110	1	2-7	340	4	1-2	400	5	7=>1	270	1	1-2-7	570	2	7=>1=>2	1330	5.0	1572634	1572364	(1,7),5,2,(3,6),4	7,1,2,5,(3,6),4		
201054062507	ダ	右	1300	雨	不良	19:10	C2　ー5		2010-6-25	6	高知	5	(見込)		2	150	1	2	110	1	5	130	2				2-5	170	1	2-5	100	1	2-4	120	3	4-5	110	2	2=>5	240	1	2-4-5	180	1	2=>5=>4	380	1.0	6,(5,7),3,1,4,2	6753412	6752431	(2,5),6,4,7,(3,1)		
201054062508	ダ	右	1400	雨	不良	19:45	C2　ー4		2010-6-25	6	高知	5	(見込)		7	300	2	7	110	2	3	100	1				3-7	160	1	3-7	120	1	6-7	210	5	3-6	190	3	7=>3	460	2	3-6-7	320	2	7=>3=>6	1580	4.0	3,(1,7),5,6,4	3,(1,7),4,6,5	(3,7),(1,6),4,5	736145		
201054062509	ダ	右	1400	雨	不良	20:20	木造高知駅舎特別 		2010-6-25	6	高知	5	(見込)		4	110	1	4	110	1	3	170	4	2.0	470.0	5.0	3-4	490	2	3-4	200	2	2-4	560	7	2-3	1,530	13	4=>3	430	2	2-3-4	2660	8	4=>3=>2	3780	11.0	45726138	4,5,(2,7),3,(1,6),8	4,5,(2,7),3,6,1,8	43251876		
201054071001	ダ	右	1400	晴	重	15:35	りゅうきゅうの酢物特 		2010-7-10	7	高知	3	(見込)		6	2230	4	6	170	3	2	110	1				2-6	2290	6	2-6	350	6	1-6	210	4	1-2	170	2	6=>2	7350	15	1-2-6	1510	3	6=>2=>1	22160	33.0	241635	241635	2,(1,4),6,3,5	1,2,(4,6),(3,5)		
201054071002	ダ	右	1300	晴	重	16:05	騎手交流第十戦		2010-7-10	7	高知	3	(見込)		6	100	1	6	100	1	2	230	4				2-6	280	2	2-6	200	2	1-6	200	3	1-2	360	7	6=>2	350	1	1-2-6	360	2	6=>2=>1	800	2.0	2,1,(5,3),4,6	2,1,5,(6,3),4	(5,2),(6,1),3,4	6,2,(5,1),4,3		
201054071003	ダ	右	1300	晴	重	16:35	C1　ー2		2010-7-10	7	高知	3	(見込)		5	560	5	5	200	3	7	160	1				5-7	3090	11	5-7	880	12	3-5	2,490	19	3-7	790	10	5=>7	3650	12	3-5-7	5870	18	5=>7=>3	83480	139.0	5,6,(2,7),1,3,4	5,(2,6),(1,7),3,4	5,6,(2,7),(1,4),3	5,7,(6,3),(2,1,4)		
201054071004	ダ	右	1400	晴	重	17:10	土佐赤岡絵金まつり特		2010-7-10	7	高知	3	(見込)		4	270	2	4	100	2	2	100	1	7.0	160.0	3.0	2-4	310	1	2-4	170	1	4-7	250	2	2-7	460	8	4=>2	670	2	2-4-7	720	2	4=>2=>7	2540	5.0	258497163	2,5,8,4,7,(1,9),6,3	2,(4,8),5,7,9,1,(6,3)	4,2,8,7,1,(3,9),6,5		
201054071005	ダ	右	1300	晴	重	17:40	騎手交流第十一戦		2010-7-10	7	高知	3	(見込)		3	380	2	3	280	6	9	420	7	8.0	120.0	1.0	3-9	6590	17	3-9	1,520	19	3-8	560	6	8-9	680	10	3=>9	7450	24	3-8-9	5190	18	3=>9=>8	61740	151.0	2,5,(6,9),7,8,(3,4),1	2,5,9,6,(3,8),7,4,1	(2,5,9),8,6,3,7,4,1	(2,5,9),3,8,6,7,4,1		
201054071006	ダ	右	1300	晴	重	18:10	騎手交流第十二戦		2010-7-10	7	高知	3	(見込)		5	140	1	5	100	1	8	140	2	3.0	490.0	7.0	5-8	360	2	5-8	210	2	3-5	980	10	3-8	1,330	15	5=>8	420	1	3-5-8	2740	11	5=>8=>3	4230	14.0	9,(1,5,6),3,2,4,8,7	9,1,5,3,(2,6),4,7,8	9,5,6,(1,3),(4,8),2,7	589346127		
201054071007	ダ	右	1300	晴	重	18:40	土佐の宵まつり特別 		2010-7-10	7	高知	3	(見込)		5	110	1	5	100	1	4	100	2	8.0	130.0	3.0	4-5	130	1	4-5	110	1	5-8	180	3	4-8	180	2	5=>4	140	1	4-5-8	270	2	5=>4=>8	340	2.0	5,7,(4,8),6,1,(2,3)	57486213	57486321	54786231		
201054080201	ダ	右	1300	晴	良	15:15	C3　ー7		2010-8-2	8	高知	2	(見込)		6	210	1	6	130	1	7	250	5	3.0	620.0	8.0	6-7	1680	6	6-7	500	6	3-6	680	9	3-7	1,020	12	6=>7	1050	5	3-6-7	3380	9	6=>7=>3	7620	25.0	7,(1,10),2,6,9,5,3,4,8	71012693548	7,(1,10,2),6,(3,9),5,4,8	7,6,(1,10,2),3,9,5,4-8		
201054080202	ダ	右	1300	晴	良	15:50	C3　ー6		2010-8-2	8	高知	2	(見込)		10	110	1	10	100	1	6	110	3	9.0	100.0	2.0	6-10	240	2	6-10	120	2	9-10	110	1	6-9	140	3	10=>6	260	1	6-9-10	150	1	10=>6=>9	360	2.0	10,(1,9),6,7,3,2,(4,5),8	10916732458	10916732458	10-9,6,7,1,3,2,4-8,5		
201054080203	ダ	右	1300	晴	良	16:25	C3　ー5		2010-8-2	8	高知	2	(見込)		4	100	1	4	100	1	9	100	2	5.0	180.0	4.0	4-9	110	1	4-9	100	1	4-5	330	6	5-9	390	7	4=>9	100	1	4-5-9	360	2	4=>9=>5	410	2.0	493576182	4,9,3,5,7,(6,8),1,2	4,9,(3,5),7,(1,8),6,2	495731862		
201054080204	ダ	右	1300	晴	良	16:55	岩田康誠J特別		2010-8-2	8	高知	2	(見込)		4	650	3	4	180	4	5	100	1	7.0	450.0	6.0	4-5	370	2	4-5	150	1	4-7	3,590	22	5-7	1,360	12	4=>5	1580	6	4-5-7	10770	20	4=>5=>7	41500	74.0	5,8,3,7,9,10,(1,6),4,2	58731941062	5,8,7,4,3,9,10,1,(6,2)	54710389126		
201054080205	ダ	右	1300	晴	良	17:25	石橋守J特別		2010-8-2	8	高知	2	(見込)		10	270	2	10	110	2	7	100	1	2.0	320.0	5.0	7-10	130	1	7-10	130	1	2-10	1,630	15	2-7	430	7	10=>7	410	2	2-7-10	4510	10	10=>7=>2	11690	28.0	7,10,6,(5,9),4,(1,2),(3,8)	71065492138	7,10,(6,5),(4,9),2,3,1,8	10,7,5,4,2,6,9,(3,8),1		
201054080206	ダ	右	1400	晴	良	17:55	武豊J特別		2010-8-2	8	高知	2	(見込)		2	250	2	2	100	2	7	170	5	6.0	100.0	1.0	2-7	4140	8	2-7	430	7	2-6	110	1	6-7	300	3	2=>7	2750	7	2-6-7	410	2	2=>7=>6	4760	14.0	2,7,1,(6,5),8,4,3	27156843	2,7,(6,5),8,1,3,4	2,(6,7),5,(3,8),4,1		
201054080207	ダ	右	1400	晴	良	18:25	B　ー4		2010-8-2	8	高知	2	(見込)		9	760	2	9	110	2	4	100	1	5.0	450.0	6.0	4-9	250	2	4-9	200	2	5-9	1,390	9	4-5	360	5	9=>4	980	3	4-5-9	1500	2	9=>4=>5	15890	29.0	497813652	4,9,7,(8,1),6,5,3,2	(4,9),7,1,8,5,(3,6),2	4,9,7,1,5,3,(8,6),2		
